cenario,exposicao_liquida_media,exposicao_liquida_minima,exposicao_liquida_maxima,exposicao_bruta_media,exposicao_bruta_maxima
overlay_atual,0,0,0,0,0
etfs_financiados,0.344937608161,-0.611735045745,0.982087257822,0.745167013496,1.24147844841
etfs_indices_financiados,0.475317050539,-0.61297071212,1.29466887984,0.990111316193,1.57906550834
