par,cagr_carry_sem_lag,cagr_carry_defasado_21_pregoes,diferenca_cagr
BRL=X,-0.102691338393,-0.102811760462,-0.000120422069127
INR=X,-0.01500694053,-0.0160887863306,-0.00108184580055
JPY=X,0.0256771392573,0.0247775283971,-0.000899610860252
MXN=X,-0.0279608590593,-0.0268262937962,0.00113456526317
TRY=X,-0.016026885672,-0.01418637711,0.00184050856196
ZAR=X,-0.00719265620392,-0.00836124825278,-0.00116859204886
