frequencia,estimador,defasagem,t,p_bilateral
diaria,iid,0,2.1894493401845394,0.028606958049561534
diaria,HAC-Newey-West,5,1.9378602745939317,0.052640271706065285
diaria,HAC-Newey-West,21,1.908198969856642,0.05636550473050134
diaria,HAC-Newey-West,63,1.991268269526065,0.046451401906480054
diaria,HAC-Newey-West,252,1.936055652432928,0.05286088524194541
mensal,iid,0,1.9883808189485166,0.04676958852319861
mensal,HAC-Newey-West,12,1.9689773655696965,0.048955690331006926
mensal,HAC-Newey-West,24,1.9130176886817558,0.055745788001144804
